Model,Accuracy,Precision,Recall,F1,ROC-AUC,TrainTime(s)
Random Forest,0.7601135557132718,0.5346153846153846,0.7433155080213903,0.6219239373601789,0.8348704435660957,2.17
Logistic Regression,0.7643718949609652,0.5428571428571428,0.7112299465240641,0.6157407407407407,0.832281898266553,0.05
Gradient Boosting,0.7700496806245565,0.551440329218107,0.7165775401069518,0.6232558139534884,0.8296274768141776,2.79
XGBoost,0.7615330021291696,0.5429864253393665,0.6417112299465241,0.5882352941176471,0.8167635433620087,0.34
Decision Tree,0.7381121362668559,0.5046382189239332,0.7272727272727273,0.5958378970427163,0.7829690769588469,0.04
